name,uid
A+,95-100
A,87-94
A−,80-86
B+,77-79
B,73-76
B−,70-72
C+,67-69
C,63-66
C−,60-62
D+,57-59
D,53-56
D−,50-52
R,0-49
,,,
name,uid
A+,96.50-100.00
A,92.50-96.49
A−,89.50-92.49
B+,86.50-89.49
B,82.50-86.49
B−,79.50-82.49
C+,76.50-79.49
C,72.50-76.49
C−,69.50-72.49
D+,66.50-69.49
D,62.50-66.49
D−,59.50-62.49
F,0.00-59.49
,,,
name,uid
Band 6,90-100
Band 5,80-89
Band 4,70-79
Band 3,60-69
Band 2,50-59
Band 1,0-49
,,,
name,uid
HD,100-85
D,75-84
Cr,65-74
P,50-64
F,49-0
,,,
name,uid
A,90-100
B,80-89
C,70-79
D,60-69
E/F,0-59
,,,
name,uid
A,94-100
B,87-93
C,80-86
D,75-79
E/F,0-74
,,,
name,uid
A1,91-100
A2,81-90
B1,71-80
B2,61-70
C1,51-60
C2,41-50
D,33-40
E1,21-32
E2,20-0
,,,
name,uid
A*,100-90
A,80-89
B,70-79
C,60-69
D,50-59
E,40-49
Fail,0-39
